,,Claude 3.7,,,,,,GPT4o,,,,,,Llama3 (8B),,,,,,,,Gemma3 (27B),,,,,,,,Phi4 (14B),,,,,,,,Llama3.3 (70B),,,,,,Mistral (7B),,,,,,AutoReSpec,,SpecGen,,,,,
,,Zero-shot,,Two-shot,,Four-shot,,Zero-shot,,Two-shot,,Four-shot,,Zero-shot,,Two-shot,,Four-shot,,Two-shot Conversational,,Zero-shot,,Two-shot,,Four-shot,,Two-shot Conversational,,Zero-shot,,Two-shot,,Four-shot,,Two-shot Conversational,,Zero-shot,,Two-shot,,Four-shot,,Zero-shot,,Two-shot,,Four-shot,,Dynamic,,GPT3.5 4shot,,,,,
Program type,Test case,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,Completeness,Success Probability,completeness,Success Probability,,,,,
Branched,Abs,90.00,80.00,100.00,80.00,100.00,80.00,100.00,72.00,100.00,80.00,100.00,80.00,80.00,0.00,60.00,60.00,80.00,62.50,100.00,56.00,20.00,80.00,50.00,80.00,60.00,80.00,100.00,80.00,80.00,27.50,90.00,77.78,100.00,80.00,100.00,76.00,30.00,5.00,50.00,92.00,90.00,88.89,0.00,0.00,30.00,73.33,50.00,67.14,90.00,80,100.00,,,,,
Sequential,AbsSeq,100.00,80.00,100.00,80.00,100.00,80.00,100.00,80.00,100.00,80.00,100.00,80.00,70.00,0.00,70.00,48.57,90.00,48.89,100.00,42.00,100.00,0.00,50.00,64.00,60.00,80.00,100.00,76.25,70.00,17.14,70.00,80.00,90.00,80.00,90.00,75.56,50.00,53.33,80.00,80.00,100.00,80.00,0.00,0.00,40.00,60.00,40.00,50.00,90.00,80,100.00,,,,,
Branched,Absolute,100.00,80.00,100.00,80.00,100.00,80.00,100.00,80.00,100.00,80.00,100.00,80.00,100.00,0.00,100.00,48.00,80.00,52.50,100.00,48.00,90.00,0.00,30.00,73.33,40.00,80.00,100.00,80.00,100.00,0.00,90.00,75.56,90.00,73.33,100.00,76.00,40.00,86.67,80.00,82.50,90.00,80.00,0.00,0.00,10.00,60.00,30.00,26.67,90.00,77.77777778,90.00,,,,,
Single-path Loop,AddLoop,60.00,90.32,100.00,90.32,80.00,90.32,30.00,90.32,80.00,90.32,80.00,90.32,20.00,6.45,0.00,0.00,0.00,0.00,50.00,35.87,50.00,51.00,20.00,70.97,0.00,0.00,20.00,78.76,0.00,0.00,30.00,64.52,0.00,0.00,40.00,69.73,0.00,0.00,20.00,90.32,20.00,90.32,0.00,0.00,0.00,0.00,0.00,0.00,70.00,48.8,100.00,,,,,
Single-path Loop,AddLoopFor,90.00,89.66,70.00,89.66,80.00,89.66,40.00,89.66,90.00,89.66,100.00,89.66,70.00,6.90,0.00,0.00,0.00,0.00,60.00,13.85,0.00,0.00,0.00,81.25,10.00,89.66,0.00,0.00,0.00,0.00,10.00,51.72,0.00,0.00,50.00,61.91,0.00,0.00,10.00,89.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,26.68166667,100.00,,,,,
Single-path Loop,AddTwoLoop,60.00,81.25,90.00,81.25,100.00,81.25,90.00,81.25,90.00,81.25,100.00,81.25,50.00,6.25,0.00,0.00,0.00,0.00,60.00,16.13,0.00,0.00,20.00,81.25,20.00,81.25,10.00,81.25,0.00,0.00,20.00,78.13,30.00,75.00,50.00,72.50,0.00,0.00,70.00,81.25,70.00,81.25,0.00,0.00,0.00,0.00,0.00,0.00,90.00,40.31333333,100.00,,,,,
Multi-path Loop,Biggest,80.00,89.47,100.00,87.37,100.00,90.53,100.00,89.47,90.00,89.47,100.00,88.95,0.00,0.00,0.00,0.00,30.00,89.47,30.00,82.46,0.00,0.00,20.00,73.68,50.00,84.21,60.00,67.86,0.00,0.00,20.00,89.47,30.00,82.46,40.00,75.88,0.00,0.00,30.00,89.47,30.00,89.47,0.00,0.00,0.00,0.00,0.00,0.00,80.00,70.91375,90.00,,,,,
Multi-path Loop,BinarySearch,0.00,0.00,30.00,90.48,10.00,81.71,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,28.24,0.00,,,,,
